transaction_id,agent_id,provider,area,timestamp,txn_type,amount,status,agent_cash_before,agent_cash_after,agent_provider_balance_before,agent_provider_balance_after,event_flag,case_status,day_type,customer_id,split,is_injected_anomaly,is_injected_data_fault,injected_scenario
txn_000001,agent_08,bKash,Bandarbazar,2026-01-01 00:21:54,cash_in,2323.55,success,353600.7092977831,355924.2592977831,246042.16197055683,243718.61197055684,normal,,normal,cust_00148,calibration,False,False,
txn_000002,agent_05,Rocket,Chowhatta,2026-01-01 00:28:39,cash_out,1142.67,success,335428.0979245483,334285.42792454833,116442.87072959199,117585.54072959199,normal,,normal,cust_00254,calibration,False,False,
txn_000003,agent_19,bKash,Shibganj,2026-01-01 00:43:44,cash_in,5159.34,success,380079.65452019335,385238.9945201934,198942.28053551394,193782.94053551395,normal,,normal,cust_00386,calibration,False,False,
txn_000004,agent_16,bKash,Zindabazar,2026-01-01 01:33:52,cash_in,473.88,success,252437.17909464415,252911.05909464415,120345.53001082528,119871.65001082528,normal,,normal,cust_00223,calibration,False,False,
txn_000005,agent_04,bKash,Shibganj,2026-01-01 02:21:15,cash_out,723.88,success,369190.29703784286,368466.41703784285,229364.73624292947,230088.61624292948,normal,,normal,cust_00113,calibration,False,False,
txn_000006,agent_12,Nagad,Ambarkhana,2026-01-01 02:53:56,cash_in,3705.44,success,274608.97650372505,278314.41650372505,213824.8559333998,210119.4159333998,normal,,normal,cust_00076,calibration,False,False,
txn_000007,agent_13,bKash,Bandarbazar,2026-01-01 02:57:07,cash_out,8995.58,success,254486.22565266342,245490.64565266343,241968.94655670808,250964.52655670806,normal,,normal,cust_00291,calibration,False,False,
txn_000008,agent_19,bKash,Shibganj,2026-01-01 03:52:57,cash_in,3109.08,success,385238.9945201934,388348.0745201934,193782.94053551395,190673.86053551396,normal,,normal,cust_00152,calibration,False,False,
txn_000009,agent_20,bKash,Chowhatta,2026-01-01 05:04:37,cash_in,998.76,success,373704.07241654577,374702.8324165458,156438.60149803432,155439.8414980343,normal,,normal,cust_00364,calibration,False,False,
txn_000010,agent_01,Nagad,Zindabazar,2026-01-01 05:09:49,cash_in,925.06,success,239659.6023999907,240584.6623999907,249513.500971645,248588.440971645,normal,,normal,cust_00307,calibration,False,False,
txn_000011,agent_04,Rocket,Shibganj,2026-01-01 05:39:45,cash_in,3674.17,success,368466.41703784285,372140.58703784284,140158.21653658737,136484.04653658735,normal,,normal,cust_00375,calibration,False,False,
txn_000012,agent_12,bKash,Ambarkhana,2026-01-01 06:10:37,cash_in,3679.54,success,278314.41650372505,281993.956503725,171988.18423897715,168308.64423897714,normal,,normal,cust_00177,calibration,False,False,
txn_000013,agent_18,bKash,Bandarbazar,2026-01-01 06:18:51,cash_out,2096.59,success,268282.6832593888,266186.09325938876,138329.00880918617,140425.59880918617,normal,,normal,cust_00214,calibration,False,False,
txn_000014,agent_16,bKash,Zindabazar,2026-01-01 06:38:44,cash_in,5521.79,success,252911.05909464415,258432.84909464416,119871.65001082528,114349.86001082529,normal,,normal,cust_00369,calibration,False,False,
txn_000015,agent_02,Rocket,Ambarkhana,2026-01-01 06:41:24,cash_in,8041.8,success,313457.3811189486,321499.18111894856,243920.12053997925,235878.32053997926,normal,,normal,cust_00257,calibration,False,False,
